,Objekt_id,Objekt,Phasen_id,Phase,Phasendefinition,BBCH_Code,Hinweis BBCH,eor,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0,201,Dauergrünland                                                                   ,1,Ergrünen Beginn                         ,"etwa 25% der ausgewählten Dauergrünlandfläche zeit frisches Grün, d.h.  hat mit dem Blattwachstum begonnen                                                                                              ",              ,kein BBCH-Code vorhanden                                                                                                                                        ,eor,                                                                                                                                                                                                                                                                                 
1,201,Dauergrünland                                                                   ,25,1. Heuschnitt                           ,im Beobachtungsgebiet wird erstmals Grünland zur Trockenfuttergewinnung geschnitten                                                                                                                     ,              ,kein BBCH-Code vorhanden                                                                                                                                        ,eor,                                                                                                                                                                                                                                                                                 
2,201,Dauergrünland                                                                   ,26,1. Silageschnitt                        ,im Beobachtungsgebiet wird erstmals Grünland für Silage geschnitten                                                                                                                                     ,              ,kein BBCH-Code vorhanden                                                                                                                                        ,eor,                                                                                                                                                                                                                                                                                 
3,201,Dauergrünland                                                                   ,27,2. Heuschnitt                           ,im Beobachtungsgebiet wird zum zweiten Mal in der Vegetationsperiode Grünland zur Trockenfuttergewinnung geschnitten                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
4,201,Dauergrünland                                                                   ,28,2. Silageschnitt                        ,im Beobachtungsgebiet wird zum zweiten Mal in der Vegetationsperiode Grünland für Silage geschnitten                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
5,201,Dauergrünland                                                                   ,35,1. Heu- oder (!) Silageschnitt          ,im Beobachtungsgebiet wird erstmals Grünland zur Trockenfuttergewinnung oder (!) für Silage geschnitten                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
6,201,Dauergrünland                                                                   ,36,2. Heu- oder (!) Silageschnitt          ,im Beobachtungsgebiet wird zum zweiten Mal in der Vegetationsperiode Grünland zur Trockenfuttergewinnung oder (!) für Silage geschnitten                                                                ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
7,202,Winterweizen                                                                    ,10,Bestellung Beginn                       ,im Herbst wird das erste Feld mit Winterweizen bestellt                                                                                                                                                 ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
8,202,Winterweizen                                                                    ,12,Auflaufen Beginn                        ,die noch eingerollten Keimblätter haben die Erdoberfläche durchstoßen und eine Höhe von ca. 1 cm erreicht                                                                                               ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
9,202,Winterweizen                                                                    ,15,Schossen Beginn                         ,etwa 50% der Pflanzen wachsen deutlich in die Länge und der erste Halmknoten ist über dem Erdboden gut fühlbar                                                                                          ,            31,"Beschreibung ""Beginn des Schossens"" DWD-Beobachteranleitung entspricht BBCH-Code 31 (1-Knoten-Stadium)                                                          ",eor,                                                                                                                                                                                                                                                                                 
10,202,Winterweizen                                                                    ,18,Ährenschieben Beginn                    ,an etwa die Hälfte der Halme drängen sich die Spitzen der Ähren seitlich aus den Blattscheiden heraus                                                                                                   ,            51,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
11,202,Winterweizen                                                                    ,19,Milchreife Beginn                       ,"die ersten Körner in mehreren Ähren haben ihre endgültige Größe erreicht, sind aber noch weich und grün                                                                                                 ",            75,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
12,202,Winterweizen                                                                    ,21,Gelbreife Beginn                        ,die ersten Körner in ca. der Hälfte der Ähren haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Rispe lösen                                                                ,            87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
13,202,Winterweizen                                                                    ,22,Vollreife Beginn                        ,die gelb gewordenen Körner sind merklich geschrumpft und hart geworden                                                                                                                                  ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
14,202,Winterweizen                                                                    ,23,Ernte von Hand                          ,Beginn der Ernte mittels Sense oder einfacher Maschine (z.B. Mähbinder)                                                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
15,202,Winterweizen                                                                    ,24,Ernte                                   ,das beobachtete Winterrapsfeld wird mit dem Mähdrescher abgeerntet                                                                                                                                      ,              ,kein BBCH-Code vorhanden                                                                                                                                        ,eor,                                                                                                                                                                                                                                                                                 
16,203,Winterroggen                                                                    ,5,Blüte Beginn                            ,"an etwa 5% der Ähren haben sich die ersten Blüten in der Ährenmitte geöffnet, so dass die Staubbeutel sichtbar werden                                                                                   ",            61,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
17,203,Winterroggen                                                                    ,6,Vollblüte                               ,an etwa 50% der Ähren haben sich die Blüten geöffnet und geben Pollenstaub ab                                                                                                                           ,            65,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
18,203,Winterroggen                                                                    ,10,Bestellung Beginn                       ,im Herbst wird das erste Feld mit Winterroggen bestellt                                                                                                                                                 ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
19,203,Winterroggen                                                                    ,12,Auflaufen Beginn                        ,die noch eingerollten Keimblätter haben die Erdoberfläche durchstoßen und eine Höhe von ca. 1 cm erreicht                                                                                               ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
20,203,Winterroggen                                                                    ,15,Schossen Beginn                         ,etwa 50% der Pflanzen wachsen deutlich in die Länge und der erste Halmknoten ist über dem Erdboden gut fühlbar                                                                                          ,            31,"Beschreibung ""Beginn des Schossens"" DWD-Beobachteranleitung entspricht BBCH-Code 31 (1-Knoten-Stadium)                                                          ",eor,                                                                                                                                                                                                                                                                                 
21,203,Winterroggen                                                                    ,18,Ährenschieben Beginn                    ,an etwa der Hälfte der Halme drängen sich die Spitzen der Ähren seitlich aus den Blattscheiden heraus                                                                                                   ,            51,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
22,203,Winterroggen                                                                    ,21,Gelbreife Beginn                        ,die ersten Körner in ca. der Hälfte Ähren haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Ähre lösen                                                                     ,            87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
23,203,Winterroggen                                                                    ,22,Vollreife Beginn                        ,die ersten Körner in mehreren Ähren haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Rispe lösen                                                                          ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
24,203,Winterroggen                                                                    ,23,Ernte von Hand                          ,Beginn der Ernte mittels Sense oder einfacher Maschine (z.B. Mähbinder)                                                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
25,203,Winterroggen                                                                    ,24,Ernte                                   ,das beobachtete Winterrapsfeld wird mit dem Mähdrescher abgeerntet                                                                                                                                      ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
26,204,Wintergerste                                                                    ,10,Bestellung Beginn                       ,im Herbst wird das erste Feld mit Wintergerste bestellt                                                                                                                                                 ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
27,204,Wintergerste                                                                    ,12,Auflaufen Beginn                        ,die noch eingerollten Keimblätter haben die Erdoberfläche durchstoßen und eine Höhe von ca. 1 cm erreicht                                                                                               ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
28,204,Wintergerste                                                                    ,15,Schossen Beginn                         ,etwa 50% der Pflanzen wachsen deutlich in die Länge und der erste Halmknoten ist über dem Erdboden gut fühlbar                                                                                          ,            31,"Beschreibung ""Beginn des Schossens"" DWD-Beobachteranleitung entspricht BBCH-Code 31 (1-Knoten-Stadium)                                                          ",eor,                                                                                                                                                                                                                                                                                 
